instance_path,solution_path,instance_id,status,exact_status,objective,lower_bound,relaxation_gap,gap_type,canonical_objective,direct_exact_objective,direct_root_certificate_status,direct_root_certificate_exact_status,direct_root_lp_bound,direct_root_gap,direct_root_min_reduced_cost,direct_root_universe_column_count,direct_root_integer_matches_lp,direct_root_uses_true_dual_bpc_certificate,incumbent_source,seeded_selection_status,seeded_selection_objective,seeded_selection_state_count,seeded_selection_max_states,makespan_min,covered_task_count,task_count,node_count,time_limit_sec,time_limit_exceeded,timeout_reason,generated_journey_count,generated_sortie_count,route_template_count,pareto_label_count,set_partition_state_count,canonical_dp_max_tasks,restricted_rmp_status,restricted_rmp_pool_type,restricted_rmp_pool_column_count,restricted_rmp_bound,restricted_rmp_min_reduced_cost,restricted_rmp_active_column_count,direct_pricing_status,direct_pricing_best_reduced_cost,direct_pricing_negative_found,direct_pricing_complete_for_all_tasks,direct_pricing_candidate_round_count,direct_pricing_candidate_round_limit,direct_pricing_candidate_task_count,direct_pricing_feasible_sortie_template_count,direct_pricing_cache_hit_count,direct_pricing_cache_miss_count,direct_cg_status,direct_cg_added_column_count,direct_cg_final_bound,direct_cg_integer_objective,direct_cg_round_count,direct_cg_cache_hit_count,direct_cg_cache_miss_count,direct_cg_reused_sortie_attempt_count,preprocess_wall_time_sec,exact_baseline_wall_time_sec,restricted_rmp_wall_time_sec,seeded_selection_wall_time_sec,solver_total_wall_time_sec,wall_time_sec,incomplete_reason
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_005/instance_001_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_post_timing_smoke/lunar_ice_005/instance_001_logical_graph_solution.json,lunar_ice_005_001_seed679001,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,667.993048,604.433833,0.095149516,analytic_relaxation_not_bpc_certificate,671.035733,667.993048,DIRECT_ROOT_FIXED_GRAPH_INTEGER_CERTIFIED,FIXED_GRAPH_INTEGER_OPTIMAL,667.993048,0.0,0.0,31,True,False,direct_dp_exact_baseline,,,,,417.2339,5,5,1,600.0,False,,31,122085,1560,50,33,10,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,31,671.035733,0.0,31,DIRECT_LABEL_PRICED,-3.042685,True,True,1,,5,1560,0,1,DIRECT_CG_ROUND_LIMIT,1,667.993048,667.993048,1,0,1,0,0.000338,4.633732,2.378638,,7.015222,7.030991,exact_direct_dp_baseline_not_true_dual_bpc_certificate
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_005/instance_002_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_post_timing_smoke/lunar_ice_005/instance_002_logical_graph_solution.json,lunar_ice_005_002_seed679002,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,618.715564,566.706852,0.084059162,analytic_relaxation_not_bpc_certificate,623.466556,618.715564,DIRECT_ROOT_FIXED_GRAPH_INTEGER_CERTIFIED,FIXED_GRAPH_INTEGER_OPTIMAL,618.715564,0.0,-0.0,31,True,False,direct_dp_exact_baseline,,,,,411.748904,5,5,1,600.0,False,,31,122085,1263,84,33,10,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,31,623.466556,-0.0,31,DIRECT_LABEL_PRICED,-4.750992,True,True,1,,5,1263,0,1,DIRECT_CG_ROUND_LIMIT,1,618.715564,618.715564,1,0,1,0,0.000309,4.875873,2.686988,,7.581178,7.697027,exact_direct_dp_baseline_not_true_dual_bpc_certificate
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_005/instance_003_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_post_timing_smoke/lunar_ice_005/instance_003_logical_graph_solution.json,lunar_ice_005_003_seed679003,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,878.423638,783.442312,0.108127015,analytic_relaxation_not_bpc_certificate,882.745121,878.423638,DIRECT_ROOT_FIXED_GRAPH_INTEGER_CERTIFIED,FIXED_GRAPH_INTEGER_OPTIMAL,878.423638,0.0,0.0,31,True,False,direct_dp_exact_baseline,,,,,423.150499,5,5,1,600.0,False,,31,122085,1510,47,33,10,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,31,882.745121,0.0,31,DIRECT_LABEL_PRICED,-4.321483,True,True,1,,5,1510,0,1,DIRECT_CG_ROUND_LIMIT,1,878.423638,878.423638,1,0,1,0,0.000317,5.267865,2.384694,,7.686343,7.692034,exact_direct_dp_baseline_not_true_dual_bpc_certificate
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_005/instance_004_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_post_timing_smoke/lunar_ice_005/instance_004_logical_graph_solution.json,lunar_ice_005_004_seed679004,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,629.766504,583.454969,0.073537628,analytic_relaxation_not_bpc_certificate,631.125236,629.766504,DIRECT_ROOT_FIXED_GRAPH_INTEGER_CERTIFIED,FIXED_GRAPH_INTEGER_OPTIMAL,629.766504,0.0,0.0,31,True,False,direct_dp_exact_baseline,,,,,366.089915,5,5,1,600.0,False,,31,122085,3197,52,33,10,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,31,631.125236,0.0,31,DIRECT_LABEL_PRICED,-1.358732,True,True,1,,5,3197,0,1,DIRECT_CG_ROUND_LIMIT,1,629.766504,629.766504,1,0,1,0,0.000336,5.147759,2.355083,,7.551535,7.631799,exact_direct_dp_baseline_not_true_dual_bpc_certificate
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_005/instance_005_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_post_timing_smoke/lunar_ice_005/instance_005_logical_graph_solution.json,lunar_ice_005_005_seed679005,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,569.822071,503.469609,0.116444177,analytic_relaxation_not_bpc_certificate,572.557398,569.822071,DIRECT_ROOT_FIXED_GRAPH_INTEGER_CERTIFIED,FIXED_GRAPH_INTEGER_OPTIMAL,569.822071,0.0,0.0,31,True,False,direct_dp_exact_baseline,,,,,401.180334,5,5,1,600.0,False,,31,122085,2682,50,33,10,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,31,572.557398,-0.0,31,DIRECT_LABEL_PRICED,-2.735327,True,True,1,,5,2682,0,1,DIRECT_CG_ROUND_LIMIT,1,569.822071,569.822071,1,0,1,0,0.0003,5.480476,2.846256,,8.42009,8.552297,exact_direct_dp_baseline_not_true_dual_bpc_certificate
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_005/instance_006_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_post_timing_smoke/lunar_ice_005/instance_006_logical_graph_solution.json,lunar_ice_005_006_seed679006,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,531.871861,463.677131,0.128216465,analytic_relaxation_not_bpc_certificate,532.611292,531.871861,DIRECT_ROOT_FIXED_GRAPH_INTEGER_CERTIFIED,FIXED_GRAPH_INTEGER_OPTIMAL,531.871861,0.0,0.0,31,True,False,direct_dp_exact_baseline,,,,,421.090601,5,5,1,600.0,False,,31,122085,1719,39,33,10,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,31,532.611292,0.0,31,DIRECT_LABEL_PRICED,-1.861405,True,True,1,,5,1719,0,1,DIRECT_CG_ROUND_LIMIT,2,531.871861,531.871861,1,0,1,0,0.000294,4.704325,2.351256,,7.133284,7.179406,exact_direct_dp_baseline_not_true_dual_bpc_certificate
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_005/instance_007_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_post_timing_smoke/lunar_ice_005/instance_007_logical_graph_solution.json,lunar_ice_005_007_seed679007,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,685.0732,601.297823,0.122286753,analytic_relaxation_not_bpc_certificate,689.025215,685.0732,DIRECT_ROOT_FIXED_GRAPH_INTEGER_CERTIFIED,FIXED_GRAPH_INTEGER_OPTIMAL,685.0732,0.0,-0.0,31,True,False,direct_dp_exact_baseline,,,,,445.552814,5,5,1,600.0,False,,31,122085,1308,50,33,10,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,31,689.025215,0.0,31,DIRECT_LABEL_PRICED,-3.952015,True,True,1,,5,1308,0,1,DIRECT_CG_ROUND_LIMIT,1,685.0732,685.0732,1,0,1,0,0.000325,5.066531,2.444305,,7.586441,7.637545,exact_direct_dp_baseline_not_true_dual_bpc_certificate
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_005/instance_008_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_post_timing_smoke/lunar_ice_005/instance_008_logical_graph_solution.json,lunar_ice_005_008_seed679008,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,521.677153,457.817163,0.122412856,analytic_relaxation_not_bpc_certificate,523.755071,521.677153,DIRECT_ROOT_FIXED_GRAPH_INTEGER_CERTIFIED,FIXED_GRAPH_INTEGER_OPTIMAL,521.677153,0.0,0.0,31,True,False,direct_dp_exact_baseline,,,,,420.238676,5,5,1,600.0,False,,31,122085,1966,49,33,10,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,31,523.755071,-0.0,31,DIRECT_LABEL_PRICED,-2.129168,True,True,1,,5,1966,0,1,DIRECT_CG_ROUND_LIMIT,2,521.677153,521.677153,1,0,1,0,0.000317,4.940179,2.471788,,7.441474,7.462212,exact_direct_dp_baseline_not_true_dual_bpc_certificate
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_005/instance_009_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_post_timing_smoke/lunar_ice_005/instance_009_logical_graph_solution.json,lunar_ice_005_009_seed679009,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,485.000449,399.851813,0.175564035,analytic_relaxation_not_bpc_certificate,486.430648,485.000449,DIRECT_ROOT_FIXED_GRAPH_INTEGER_CERTIFIED,FIXED_GRAPH_INTEGER_OPTIMAL,485.000449,0.0,-0.0,31,True,False,direct_dp_exact_baseline,,,,,426.371589,5,5,1,600.0,False,,31,122085,2335,74,33,10,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,31,486.430648,-0.0,31,DIRECT_LABEL_PRICED,-1.430199,True,True,1,,5,2335,0,1,DIRECT_CG_ROUND_LIMIT,1,485.000449,485.000449,1,0,1,0,0.000308,5.470393,2.645357,,8.15381,8.170127,exact_direct_dp_baseline_not_true_dual_bpc_certificate
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_005/instance_010_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_post_timing_smoke/lunar_ice_005/instance_010_logical_graph_solution.json,lunar_ice_005_010_seed679010,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,655.198415,592.308584,0.095985933,analytic_relaxation_not_bpc_certificate,656.955283,655.198415,DIRECT_ROOT_FIXED_GRAPH_INTEGER_CERTIFIED,FIXED_GRAPH_INTEGER_OPTIMAL,655.198415,0.0,0.0,31,True,False,direct_dp_exact_baseline,,,,,370.644057,5,5,1,600.0,False,,31,122085,2921,62,33,10,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,31,656.955283,-0.0,31,DIRECT_LABEL_PRICED,-1.756868,True,True,1,,5,2921,0,1,DIRECT_CG_ROUND_LIMIT,1,655.198415,655.198415,1,0,1,0,0.000307,5.002141,2.704444,,7.759841,7.816424,exact_direct_dp_baseline_not_true_dual_bpc_certificate
